epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
17,1701.65,0.95458,0.86483,1.12427,0.47494,0.43184,0.42065,0.1601,2.05967,1.85231,1.74355,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,2039.31,0.94941,0.84891,1.11859,0.45123,0.44824,0.41584,0.15505,2.09441,1.86203,1.75167,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,2373.47,0.93886,0.8325,1.11114,0.48214,0.4449,0.43468,0.16647,2.07127,1.8177,1.73918,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,2709.05,0.93661,0.83161,1.11037,0.47837,0.45515,0.44981,0.17496,2.02607,1.81966,1.7253,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3039.88,0.92945,0.82074,1.10462,0.50038,0.46525,0.46837,0.18442,2.03388,1.77072,1.73331,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,3374.1,0.92416,0.8068,1.10217,0.49161,0.47339,0.45962,0.17743,2.04563,1.78932,1.7228,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,3704.12,0.92007,0.79926,1.09983,0.51217,0.47319,0.47454,0.1851,2.0503,1.74954,1.73332,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,4035.75,0.91398,0.79905,1.09774,0.51054,0.47691,0.47595,0.18441,2.02763,1.74785,1.70739,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,4366.56,0.91726,0.79235,1.09601,0.51366,0.47883,0.47765,0.18639,2.02042,1.7272,1.70411,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,4696.9,0.92027,0.78611,1.09687,0.52874,0.4771,0.48984,0.19524,2.01267,1.70589,1.69138,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,5029.17,0.9033,0.77388,1.08978,0.52249,0.49706,0.49815,0.19576,2.02124,1.69886,1.69994,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,5359.86,0.90367,0.77244,1.08604,0.51816,0.49595,0.49157,0.19534,2.01378,1.71431,1.69305,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,5689.32,0.89946,0.76045,1.08649,0.52991,0.49886,0.50229,0.20053,2.02022,1.67179,1.69463,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,6021.24,0.90105,0.76238,1.08873,0.52843,0.50558,0.50463,0.1997,2.02402,1.6756,1.70305,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,6357.2,0.88833,0.74611,1.08003,0.54679,0.49596,0.50927,0.20629,2.0055,1.66213,1.69595,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,6691.07,0.88557,0.73788,1.07896,0.53755,0.50868,0.51484,0.20914,1.99855,1.65698,1.68275,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,7026.77,0.88193,0.73757,1.07557,0.5553,0.51767,0.52242,0.21265,1.98574,1.63775,1.67341,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,7360.6,0.88165,0.72813,1.07748,0.55528,0.51467,0.52814,0.21387,2.00163,1.61706,1.68336,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,7695.53,0.87441,0.7178,1.06838,0.54881,0.51111,0.52557,0.21445,2.00121,1.61589,1.67168,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,8029.58,0.87444,0.71696,1.06667,0.56784,0.51349,0.52952,0.21579,2.00479,1.61197,1.67405,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,8363.81,0.87169,0.70465,1.06663,0.56041,0.53298,0.53497,0.21564,2.01087,1.60737,1.67304,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,8698.4,0.86047,0.6954,1.06387,0.56697,0.52635,0.53958,0.22071,1.99637,1.59724,1.67254,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,346.398,0.85434,0.68436,1.05519,0.56582,0.5337,0.53919,0.22068,2.01049,1.5838,1.6698,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,681.391,0.84881,0.67369,1.05445,0.57245,0.51767,0.53615,0.22011,2.00943,1.57899,1.67866,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,1003.98,0.83767,0.63747,1.04726,0.56909,0.52335,0.53445,0.21948,2.01534,1.57881,1.6786,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,1326.58,0.8284,0.61226,1.04119,0.58256,0.52583,0.54681,0.22569,2.00251,1.56681,1.676,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,1660.14,0.82549,0.60747,1.03921,0.5716,0.53681,0.54982,0.22818,2.00122,1.55464,1.67795,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,1991.4,0.81845,0.59611,1.03512,0.57022,0.54155,0.55229,0.22784,2.00513,1.54242,1.67724,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,2321.37,0.81739,0.58952,1.03355,0.57861,0.54194,0.55111,0.2283,2.00592,1.5432,1.67813,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,2654.71,0.80501,0.57901,1.02727,0.57874,0.53107,0.5549,0.22981,2.0061,1.54192,1.68302,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,2982.28,0.80044,0.56583,1.02125,0.58556,0.53676,0.55729,0.23169,2.00836,1.53929,1.68113,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,3310.32,0.7973,0.5586,1.02135,0.58223,0.54156,0.5629,0.23394,2.00981,1.53217,1.68318,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,3636.03,0.79281,0.55372,1.01913,0.58615,0.53632,0.56275,0.23326,2.00813,1.52585,1.68462,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,3963.3,0.78835,0.54654,1.0185,0.57956,0.54825,0.561,0.23386,2.0104,1.5229,1.68843,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
